ANON_ID,STUDENT_ID
9053C785,109918473
3709CE31,110227170
A2989520,109027213
9EB9A097,109761699
E9860A70,110073981
57BB927E,110079072
79337CFA,109805028
AB7313F2,110414460
0FCB9838,110040591
6713BA8E,108736996
5903CE17,109946136
96CE2DC7,109947693
0F51458E,110285106
0D941C40,109435297
0FAA1C01,109684782
0549AED3,110583123
6E5CB39A,110413068
29ED838B,110228403
F285E516,110497467
03861CD7,109797027
69466DBF,109616582
F5E761EC,109834824
A25BCD48,109720728
F8FE4F3A,109059367
AF21A44D,110683428
394B2BC8,110063304
6C4151D2,109976691
FB254E2A,109715259
99EDA72E,110080020
D03864C3,110122305
57F613F7,110664279
394B2B19,110048568
4F0A9C70,110537661
FB3A99AA,110156562
6B9BA9F4,110203149
CB3ECF83,109890834
A9E7DF72,110475126
1DB5588B,109735878
06DAF3F2,109837005
3389BB59,110032764
5FBAA49D,110659272
0D6C4F5C,109511089
01569A7A,110153757
3C0301E5,109645523
CFC26BDF,110245122
1F4C72DA,110149104
5F6A1537,109929099
9EB99D57,109739706
A388A3FF,109748076
8808A9E6,110011269
55433FD9,109160050
4FAE36CB,110355951
BC389373,110485848
FB3A9CEB,110170902
BA416AB3,107039157
408FBCF8,109967457
CEBA6EB1,109788978
E4D6598D,110122740
85B978BB,109617947
3C54108C,110156778
699C6684,110240361
E36D368C,109768323
CE1665D3,110373990
A2B9F451,110143968
AB462CE2,110437143
3F0AE5F0,109312951
DDC381D9,104429858
DA1CCAB9,109800990
03FD0FE9,110276814
63C00766,110662296
A2B9F4F2,110146302
A2B9F460,110144169
1F4C708B,110138559
12B9DEAE,110055924
8637E40A,110056881
C066EB5F,110669448
C58B797B,110679612
D50E5FB0,109915041
AEF0EB8A,110056287
3919ECA1,109831194
B933BEE3,109877703
5F6A137B,109913871
67B5D50E,110304393
CCBD9949,110242572
CFF3F016,109687923
30391914,110055054
3389BC79,110050023
EDE85BCE,109807113
A3C11749,109749492
03FD0E4C,110269938
63261807,110162274
91EDA0A0,109383175
A2B9F6B2,110152455
FB3A9CEF,110170926
1F4C7403,110154465
A2B9F456,110144082
BBD6D87A,110433066
0CDBD9C7,110108463
A2B9F777,110161911
3C541180,110177061
E9860BA4,110086194
EBA7A720,109764807
21FF7163,110678937
4C88CBF0,110443809
79CE63FA,110666403
69466BA8,109605806
0056A3FC,108726958
1F4C732E,110151051
01B25D33,109347850
3709CE3B,110227569
06DAF296,109821342
7E8B08D5,110422104
B8A9936B,108986134
1F4C702A,110136993
E9860CD2,110090793
1012A77F,110324874
7C14BAC7,109738494
5334CB11,110421786
3D5153C6,110381208
FF17C795,107280876
D03F55AC,110631471
6BD71155,110339820
AB462AD2,110413725
7CAFDCC7,109870575
611513FC,109614116
14DBB837,109352077
C98FB583,110121756
99151A8B,110077248
BAD862A5,110269995
D19A94F7,109752663
C91C3BBD,110307435
D260B13E,110251923
F79E3FEC,109758513
699C663C,110237970
0F51415E,110270748
86F9F35A,110639352
8637E560,110068641
79CE62DB,110660526
CB23E0F3,110255013
6E5CB4ED,110422929
EE6D98D9,109944144
DD3AC268,110263986
848E41CB,110111688
B28B0D20,110241978
2E423774,110067177
D80C12D4,109701687
48A0AFEF,110071635
C82DE9CB,109683378
2A34752C,109777341
85A6D925,109722222
70B12D7A,110308389
EAA38C9A,105375354
5F6A14AE,109922421
E14DE6AB,110376375
7370199C,110251575
0A9D46DC,109685997
A0265FD4,110104509
E8EFAB55,109793274
848E3E6C,110100567
E105C9CB,110170812
19E2A7F9,110126298
E9860D71,110093820
699C6520,110230467
953F29B6,110059095
7986562D,109174399
68E5D989,110437161
5BBAA0C4,110285256
CCBD9BFF,110258259
B85AA7F7,108965737
0C0F09F4,110073000
4B6F1BC7,108701074
258C7420,108516019
16C20974,109985016
73701B19,110258250
D3F82CE1,109407961
523F1C8A,110016642
024A1B4E,110516313
A79F61EE,109450159
9.28E+164,109428577
2E423768,110067066
88380906,109538176
99151A8D,110077260
E9860DCA,110095350
F0A23F93,109688661
